Character,blanka,dhalsim,feilong,Guile,VEGA,Sagat,zangief,cammy,ken,ryu
blanka,0.0,1.0,4.0,4.0,2.0,5.0,0.0,4.0,3.0,5.0
dhalsim,4.0,0.0,4.0,3.0,1.0,5.0,1.0,4.0,4.0,5.0
feilong,1.0,1.0,0.0,3.0,3.0,5.0,0.0,2.0,1.0,5.0
Guile,1.0,2.0,2.0,0.0,3.0,5.0,1.0,2.0,2.0,4.0
VEGA,3.0,4.0,2.0,2.0,0.0,5.0,0.0,2.0,4.0,3.0
Sagat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zangief,5.0,4.0,5.0,4.0,5.0,5.0,0.0,5.0,5.0,4.0
cammy,1.0,1.0,3.0,3.0,3.0,5.0,0.0,0.0,1.0,4.0
ken,2.0,1.0,4.0,3.0,1.0,5.0,0.0,4.0,0.0,5.0
ryu,0.0,0.0,0.0,1.0,2.0,5.0,1.0,1.0,0.0,0.0
